"Data Source","World Development Indicators",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Austria","AUT","GNI (constant 2010 US$)","NY.GNP.MKTP.KD","","","","","","","","","","","145662856215.702","153253462587.018","162522483020.412","170397988624.113","177668177882.16","176880208494.287","184681350705.551","193933020056.212","193532236079.547","204168777947.601","208012991133.765","207906921862.282","212350609832.182","218697100009.088","218913820250.93","224568509021.676","228794821926.434","231802778811.719","240695308980.673","250900864493.553","262218327047.378","269922246345.44","275022935338.405","276670546916.754","282741312981.648","289254142810.642","297057682359.764","302010674844.027","312359452870.325","320222989570.56","333500411826.007","336005793623.702","344326596898.717","348743309307.457","358697889342.864","366473393214.501","380847630361.162","393708382692.338","403221265707.92","384643978598.223","395170908981.876","404687487505.834","406486272011.174","407267343564.591","409404988292.845","408951442000.487","421202846344.685","427311900482.661","438474502665.578","450965625373.777","",
"Azerbaijan","AZE","GNI (constant 2010 US$)","NY.GNP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13266858864.5841","10649525053.7142","9386027951.27423","9500949494.87232","10056525849.4651","11058894588.3478","11821348637.9005","12578536302.0744","13838564992.8852","15145924552.0367","16666381711.184","17814231724.6688","21449799460.4292","28162047821.9699","34056838895.8382","39814996072.3725","46304190919.4976","49435841285.6609","47616143192.2305","49559514189.8516","","","","","","","","",
"Burundi","BDI","GNI (constant 2010 US$)","NY.GNP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1404782692.44949","1477042222.21185","1455246928.16854","1484708741.57379","1472800854.65776","1534545946.66941","1506904005.95223","1568580516.98315","1602758100.85068","1704772219.42423","1768201671.09466","1857297957.98831","1914739327.84392","2021328812.72312","2097854608.94795","2202177959.03342","2318860003.27349","2409244728.73422","2319741777.93193","2306518930.53412","2314788216.15588","2361524524.66531","2406185517.91458","",
"Belgium","BEL","GNI (constant 2010 US$)","NY.GNP.MKTP.KD","","","","","","","","","","","193619832677.653","201071963721.101","211792860875.071","224980206723.948","235192438414.43","230554234850.409","243626289654.847","244583179170.614","251290217661.628","256152158404.265","267015935263.819","266721073569.132","267189377182.094","267830688080.015","275046475366.983","280469350561.993","285734943649.807","293153242027.397","306941188457.605","316796593593.785","327207226068.648","334418974294.039","339478698722.653","339498340120.66","353015463748.716","360570785912.753","365782225805.186","380046474841.922","387505636988.415","400765527958.225","416574573541.039","418189593343.603","424751257932.752","429921253422.496","442890663920.001","452503760597.121","464893939152.908","481762847591.831","488696849606.912","476362266762.654","488333574084.956","489881812876.198","504014243931.797","507064094842.543","513274889393.566","520327011183.081","524581084742.327","532771716534.173","542703998642.184","553684369399.956","",
"Benin","BEN","GNI (constant 2010 US$)","NY.GNP.MKTP.KD","","","","","","","","","","","","","","","","","","2619593624.52995","2654110697.382","2829664303.22601","3011534358.34757","3310273036.95054","3376577630.40761","3205605507.94048","3403375342.87106","3690705377.34764","3776118420.56901","3724314936.88347","3861848332.38229","3714480974.26033","4069437265.49948","4258928970.55459","4296701321.152","4632624670.74698","4708296277.15997","4999626699.10107","5218041557.16082","5552190871.93255","5816240159.84152","6139666400.19422","6498093609.04096","6841575671.30873","7139669305.39018","7382340688.61544","7717352231.001","7875628890.29151","8173541746.78396","8649309257.55971","9114857841.27512","9305761569.83303","9481808905.23597","9802658758.61359","10228140921.7168","10968286758.7853","11676525516.7203","11841670432.1405","12228984676.8594","12893027268.3154","13769014350.9256","14715596181.992","",
"Burkina Faso","BFA","GNI (constant 2010 US$)","NY.GNP.MKTP.KD","","","","","","1485192308.48744","1501511653.56341","1634191110.34935","1684999484.64928","1719419948.3772","1728378083.95018","1750677719.7033","1788730446.68866","1800655898.58094","1944026359.01955","1980194166.65147","2156734262.2489","2143678112.59735","2270233482.13452","2359881150.99013","2386714915.7838","2478781885.53517","2714977366.44151","2722980976.75495","2683152038.38489","2911563969.85462","3146395352.23625","3135402189.29804","3312503079.37585","3385676099.69853","3372893322.02265","3676784875.50425","3682900636.66601","3801457831.03679","3846891686.3317","4079544950.55276","4559215190.06404","4830671894.01977","5183084120.30618","5577808336.37388","5670337579.68896","6031073737.55673","6259740724.00768","6735103643.68284","7057752791.195","7654549783.79765","8191527151.9511","8527530815.45494","9014258078.76308","9206018296.96797","9807542028.87947","10334110384.937","11169577325.7702","11804072366.6421","12109040199.0281","12551574074.9504","13301462965.6378","14230644274.5971","","","",
"Bangladesh","BGD","GNI (constant 2010 US$)","NY.GNP.MKTP.KD","","","","","","","","","","","","","","22302495492.2138","24381869665.5557","23350346123.9095","24652364639.1504","25223143809.2993","27039231468.8588","28380429577.8742","28706938113.0055","31341442829.6625","32004147096.321","33640747473.6501","35193141453.0602","35998611196.3039","37610666832.3026","39184046748.836","40106953864.9193","41213325345.5132","43451145838.8861","44975185342.1012","47541487726.6394","49904525292.0085","52070479755.0516","54676021710.3853","56884600639.1032","59531767856.5292","62615880785.1128","65660139739.4243","69260651797.516","72635399573.5014","76081596406.4534","79699434847.5386","84175320396.0398","89769563670.2062","96912925461.671","104476278938.658","111921403650.309","117804460452.05","124617096900.553","132410181205.752","141651706296.286","149596107484.509","156680436264.95","166646730599.68","177326124852.465","187749000704.966","203000155587.988","219828008337.414","",
"Bulgaria","BGR","GNI (constant 2010 US$)","NY.GNP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","31923135796.4661","33635436868.2444","34473920742.2086","35758638779.7686","37057344482.1906","38004515220.557","39513463269.7675","41735181729.4598","46032758097.1488","44147181435.1758","38096345677.533","34377141824.2889","34424469129.9226","33896153235.2253","34455758440.8245","35179990394.2886","36698688469.2655","31607818669.9482","33311325496.1434","30686886303.7103","31832585839.5516","33837071378.1386","36470130135.4774","38197648539.0447","40496726033.777","43040359132.1715","44785151846.5072","45445212133.8957","49472061430.6765","48512678574.2667","49327498984.7029","49923493667.3326","51047968985.5817","50772141570.4737","52424533570.5612","53271097280.7601","55273247675.8609","57620373428.8177","58945499880.1833","62093380767.0633","",
"Bahrain","BHR","GNI (constant 2010 US$)","NY.GNP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14951516114.5029","15185935766.6313","15512032043.535","16589076960.4031","17765616418.0612","19204693790.607","20510508261.043","22336336732.4207","23165497272.1677","22271064827.7539","23340257978.7234","22502425779.1851","26290297140.6126","27554246826.6302","28418684771.6648","29068152539.3139","30138380767.89","31374183461.5884","31948082957.9445","","",
"Bahamas, The","BHS","GNI (constant 2010 US$)","NY.GNP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7435130367.04586","7232302087.17443","6920811365.28004","6843689788.20509","6773757957.67814","6983721736.74631","8428211138.87945","9399874222.55071","7818747368.33183","8175707780.26626","8864005778.17169","9223420283.82766","9405478711.81877","9676774660.01597","9597263511.24818","9706983552.28225","10000291767.1042","10228620669.0455","10365998696.4934","10311433852.4292","9797507499.34903","9888260000","9971760167.21932","10361528139.7538","10155559470.1735","9879951285.4133","9943604950.6448","10057530241.0994","10460000921.796","10496702757.264","10839077170.6484","",
