"Data Source","World Development Indicators",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Antigua and Barbuda","ATG","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","323050296.77667","337211619.784609","364457459.908829","394202403.283718","409240894.491539","408897081.951469","430830387.966","474624277.923985","510903578.091765","569625959.491972","607371476.614152","639035409.206963","672599304.048187","692856076.064447","707936633.163291","716137903.429466","753949116.116975","804288090.307591","769224448.204454","820027567.04884","864896264.962877","905815589.17117","939399770.190413","997674789.130764","952300505.076013","962084840.143441","1020546345.77504","1079401545.5326","1149280180.81721","1295332413.25319","1415997590.78741","1415794527.50139","1246427314.51083","1148700000","1126201416.73822","1164186683.67089","1157191360.67478","1201115192.6865","1247061369.26107","1315622165.26087","1357005634.12294","1457277455.93212","1525166899.84343","",
"Australia","AUS","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","199140913998.197","204091098084.214","206736296993.324","219584193744.787","234907925364.002","248963655147.257","254895110718.513","270960181431.042","284767807750.202","304827789929.508","326690607759.588","339770265830.805","353063857427.948","362291969207.749","377158120785.399","382249441572.548","392140895847.669","406247880538.178","409891435901.61","426465341562.957","439405348582.527","454071680304.364","469185192521.366","458767075503.601","479784558776.375","504970031680.999","525358342396.622","538761129230.956","569704236717.02","591701505825.547","612831155634.484","610393204828.616","612909152232.478","637608817755.311","663010452660.089","688455171399.949","715157492429.37","743524483707.404","777553285175.057","817003221615.663","849137077164.435","865532704887.51","900166165695.802","927044536189.266","964640382071.844","995550062444.482","1023371077536.56","1062711818739.97","1101585323180.17","1122922963917.09","1146138465603.81","1174365063005.45","1220378598873.43","1251924137225.91","1283636811145.51","1311782440650.19","1348127369665.9","1379142531152.01","1419817385593.49","1450499018770.09","",
"Austria","AUT","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","91836704603.8273","96922602310.0595","99489767156.2721","103606919937.48","109952174211.113","113778702199.799","120199076680.091","123814722359.088","129352104013.722","137470070238.14","146159749454.684","153635774723.2","163173270197.048","171153153430.917","177900247052.109","177253160816.312","185368600063.124","194785288974.181","194374966565.323","204787050205.441","208332908481.196","208032295155.554","212216354485.081","218525733518.642","218637782070.525","224100837318.498","229258278776.519","232369698920.504","240028325117.268","249358405698.537","260194627809.652","269149558393.816","274784270655.585","276231859483.736","282867277668.304","290414130050.787","297237508346.442","303460471006.619","314328682652.371","325507251810.694","336495472200.435","340759435782.358","346387261608.152","349648396949.29","359211700961.583","367272646184.907","379958397036.836","394121024465.176","399876861217.528","384823184161.595","391892746544.69","403346977095.66","406091533760.531","406195106237.474","408881164188.391","413029270083.549","421246227873.787","431354400137.306","442483864448.169","448761534683.333","",
"Azerbaijan","AZE","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22672997489.2598","22514286465.4054","17426057713.9502","13400638502.3469","10760712620.576","9490948560.19303","9614330840.70045","10171962030.6465","11189158352.2522","12017156024.0878","13351060283.0959","14672815268.5084","16057770026.7758","17696995366.1973","19334640158.1058","24740902926.3267","33268154327.4079","41739296291.7775","46160087685.6421","50484860818.0919","52902703376.1056","52070545110.5105","53217627468.0712","56327354699.9012","57903160570.3635","58510881089.1125","56718342640.9299","56805470322.5841","57657780568.97","58937036212.3055","",
"Burundi","BDI","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","597069961.546072","514995918.26075","561670811.689447","584898188.110763","621589073.145239","646248914.035703","676060330.530198","769502134.875392","767209913.650335","756012169.305851","917236835.232064","942431759.973465","882078760.642376","942845613.83468","935992638.90365","942525120.939625","1017386695.90918","1134075385.27516","1123408544.50219","1142112790.67558","1153431764.87503","1293726848.95154","1280096145.19707","1327655902.79585","1329720991.95726","1486404412.37271","1534715238.11495","1619172092.81896","1700633035.37323","1723583116.10835","1783905459.60785","1873044297.81182","1891962014.70775","1773903584.96368","1705963077.72701","1570850801.9071","1445182737.78688","1422204332.30147","1489759038.01604","1474712471.78425","1462076190.64843","1492133656.90531","1558481669.61629","1539410093.67007","1613819909.24558","1628344288.44335","1716499707.8749","1775752462.2736","1862084450.49236","1933081018.33396","2032135246.50004","2114083183.17763","2208090293.90699","2316820971.52452","2415069278.13462","2320881501.75984","2306955748.5603","2318490757.97052","2355816907.6942","2399222284.76422","",
"Belgium","BEL","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","119193551296.988","125127510544.594","131649160785.222","137377984972.903","146934938280.622","152166791618.704","156969015759.264","163040807949.937","169878950776.919","181141585107.776","191254463098.304","198877535338.496","209409303532.325","222773181155.034","232943351569.071","228363821395.694","241272648022.494","242783388419.512","249683041015.307","255528303163.156","266884118625.161","266138755906.568","267722246299.38","268557118587.662","275180765182.863","279726181521.835","284824923589.979","291394864935.862","305158053073.334","315744495498.605","325650670611.677","331620089288.472","336696048579.996","333457459153.632","344218036408.14","352426801089.122","357083948331.14","370630490780.731","377901550407.363","391289632883.379","405832614001.301","410295226077.625","417298492042.621","421629977567.385","436687245639.171","446825975230.479","458230537757.548","475079129959.516","477202395106.604","467559360817.249","480951629493.033","489101421700.4","492716943941.295","494979708039.479","502793126783.126","513057442367.476","519556271260.416","527911187256.419","537478500579.38","546851155613.124","",
"Benin","BEN","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1731160070.26564","1785540663.26202","1724360722.58457","1805923467.1607","1926031086.82843","2027992530.71234","2100510759.84221","2123162639.85085","2204741674.56796","2268183071.63105","2315764053.89314","2281100728.89167","2427692645.79023","2517666948.67027","2601739707.25308","2474375561.00706","2496257857.98321","2620662955.33145","2653554320.37734","2826983928.11201","3018703302.80502","3319192007.80099","3393378151.27826","3245840084.55065","3503229995.76774","3767034594.22012","3848822249.30111","3791089802.04272","3920185709.15037","3808297317.25955","4150135201.30967","4325511590.52198","4453447715.1324","4713358587.62772","4808587305.63231","5099275960.40803","5319783136.48257","5624856121.67752","5847657355.40308","6160007012.49151","6520842618.31787","6868608004.33002","7187519594.36151","7435027349.87739","7764375607.9695","7897392139.47095","8208844659.68716","8700254776.298","9126269457.94962","9337934308.08352","9535344283.47295","9817948328.01509","10290311747.0947","11030332696.1176","11731605852.3696","11940211526.2241","12338975597.609","13038787442.989","13912028868.5986","14867185272.7071","",
"Burkina Faso","BFA","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","1297842687.88231","1350326511.42897","1433085306.20672","1414913549.89026","1447213468.39851","1501694476.17022","1509767782.14237","1642979348.95359","1693431530.60345","1727741825.78148","1729763622.54336","1754211061.68394","1794759628.29359","1802823975.15692","1952213658.46434","2010748498.78427","2182363771.25681","2190446233.13232","2291378162.38918","2375348499.44551","2394277149.78228","2496160906.6106","2734848720.52134","2744310879.74803","2695497913.06148","2925083308.75901","3157784296.06797","3150321289.91306","3332901088.95992","3404567370.40945","3384040264.11213","3690972190.17308","3699561479.67635","3827617543.55986","3877950992.60595","4099629169.55545","4551192822.18367","4838684151.22481","5192281623.01799","5576263196.34399","5681569470.7925","6057314712.6026","6320987431.10425","6814182089.12188","7119351972.49106","7736021215.0327","8219767361.92083","8557713152.53562","9054059808.60577","9322236610.85099","10109618964.2848","10779134810.137","11474677064.7832","12139357469.4618","12664608725.7613","13161217009.7372","13945359253.6061","14810458138.26","15807384970.1785","16708316591.3587","",
"Bangladesh","BGD","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","17862547694.0025","18944689560.8334","19977749349.7317","19886671931.188","22064817056.6561","22419234996.3238","22994694610.8047","22563345431.1675","24704483720.2119","25006090363.6117","26411395706.251","24964187761.2752","21475759890.8457","22189974985.074","24318427688.7161","23324238301.0378","24644707678.6874","25303474528.3022","27093401257.1458","28394327386.3766","28626917210.3906","30697772282.978","31352963381.7751","32569786438.3395","34134214252.2792","35274984694.6707","36747144753.6094","38133394723.0454","39054795487.3377","40162616836.68","42420662839.6952","43899119580.4423","46288410618.7409","48469317656.3303","50354835398.085","52933646453.4792","55327792521.5125","57811953140.0005","60804893490.1261","63644577095.6803","67013472133.6724","70415938962.5704","73115069176.56","76580407159.1288","80592862795.19","85860367933.4753","91588890098.7471","98053782905.9494","103950531260.888","109194965287.21","115279077465.226","122731154082.416","130735015707.153","138596904008.416","146997344629.787","156629551254.77","167771360258.825","179992118771.403","194146236466.491","209974367461.625","",
"Bulgaria","BGR","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","32356648110.5461","33942176240.3789","34734578608.1275","35926080911.8606","37146289995.9078","38143088675.0465","39747998038.6554","42154546080.5394","46768231340.096","45229611683.7388","41105857427.2347","37634321769.0717","34897407869.4036","34380851287.7681","35005899014.0377","36005335303.0191","37855619063.4858","32482841154.8313","33874822442.0955","31069642496.7662","32555406323.5435","33798124235.1857","35810138200.2256","37655019586.0687","40080703028.4043","42947892705.1545","45869280338.7161","48876966228.4417","51851436378.6577","50101534229.7147","50381825504.2642","51568094264.4734","51751979375.9177","51920571507.3287","52899515523.1699","55010127749.7693","57111753665.4351","59112236490.8388","60940251461.1954","63191572277.6213","",
